qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi,test
26,546,318,26,246,301,232,123.0,
26,506,287,26,242,301,252,64.0,
26,457,322,26,229,297,237,84.0,
26,507,332,26,228,300,223,136.0,
26,471,320,26,242,300,217,76.0,
26,411,327,26,275,294,230,79.0,
26,480,299,26,241,300,215,109.0,
26,493,331,26,228,301,233,118.0,
26,533,290,26,212,301,219,80.0,
26,450,289,26,256,297,215,139.0,
26,538,286,26,247,301,259,108.0,
26,489,300,26,213,301,232,113.0,
26,554,297,26,260,304,212,102.0,
26,577,292,26,244,303,236,79.0,
26,526,297,26,246,301,266,123.0,
26,543,369,26,227,302,210,54.0,
26,488,312,26,209,298,233,93.0,
26,562,284,26,242,293,252,97.0,
26,509,322,26,213,319,213,103.0,
26,545,294,26,259,302,234,80.0,
26,471,312,26,259,302,233,126.0,
26,448,309,26,227,298,219,86.0,
26,495,301,26,244,301,254,138.0,
26,499,305,26,243,301,237,83.0,
26,465,336,26,226,298,225,56.0,
26,428,286,26,230,297,236,69.0,
26,423,305,26,244,299,217,72.0,
26,490,340,26,246,298,257,66.0,
26,461,318,26,230,299,233,73.0,
26,533,311,26,244,302,234,77.0,
26,524,344,26,243,297,236,93.0,
26,459,376,26,228,299,237,111.0,
26,487,287,26,229,300,223,95.0,
26,488,318,26,245,301,216,86.0,
26,565,277,26,246,303,228,118.0,
26,504,279,26,224,301,218,66.0,
26,490,310,26,243,299,234,78.0,
26,465,336,26,213,298,269,82.0,
26,530,345,26,245,304,230,87.0,
26,429,391,26,227,302,210,118.0,
26,505,345,26,230,299,218,112.0,
26,485,307,26,213,300,230,62.0,
26,500,391,26,226,300,228,86.0,
26,526,333,26,261,299,214,107.0,
26,483,284,26,227,301,243,77.0,
26,477,324,26,229,322,213,84.0,
26,481,290,26,260,323,250,83.0,
26,501,299,26,224,299,236,68.0,
26,569,328,26,243,301,211,61.0,
26,479,287,26,247,296,252,87.0,
26,519,283,26,212,298,209,106.0,
26,563,308,26,240,299,249,108.0,
26,479,287,26,228,300,250,130.0,
26,500,287,26,232,301,220,86.0,
26,609,306,26,244,301,233,98.0,
26,536,283,26,228,303,211,60.0,
26,445,295,26,245,298,236,75.0,
26,484,342,26,231,301,210,67.0,
26,499,286,26,243,301,212,119.0,
26,467,300,26,244,299,246,120.0,
26,444,255,26,245,298,259,70.0,
26,441,316,26,262,327,253,106.0,
26,419,296,26,244,328,233,56.0,
26,541,324,26,230,300,207,84.0,
26,467,323,26,243,302,249,79.0,
26,489,329,26,223,298,238,98.0,
26,459,281,26,243,295,233,79.0,
26,557,344,26,243,300,214,129.0,
26,550,310,26,247,299,216,91.0,
26,450,320,26,261,298,246,69.0,
26,409,284,26,261,300,228,97.0,
26,509,282,26,246,301,208,61.0,
26,425,299,26,245,300,245,85.0,
26,420,321,26,212,301,247,104.0,
26,464,292,26,228,301,220,124.0,
26,423,282,26,242,299,250,61.0,
26,561,279,26,259,300,227,60.0,
26,512,329,26,245,300,219,63.0,
26,494,282,26,244,300,244,68.0,
26,442,322,26,238,300,226,75.0,
26,568,291,26,245,300,253,84.0,
26,452,373,26,259,325,237,59.0,
26,490,353,26,258,301,249,58.0,
26,457,323,26,244,299,233,81.0,
26,521,312,26,246,301,241,84.0,
26,493,399,26,229,298,233,108.0,
26,514,297,26,228,299,255,71.0,
26,482,331,26,246,299,218,118.0,
26,469,287,26,245,302,239,69.0,
26,572,308,26,246,299,247,88.0,
26,495,288,26,242,299,249,101.0,
26,510,259,26,245,324,228,93.0,
26,578,328,26,241,298,224,91.0,
26,442,335,26,243,300,232,59.0,
26,517,313,26,231,297,214,98.0,
26,471,331,26,258,299,227,79.0,
26,537,338,26,272,299,223,82.0,
26,486,290,26,247,300,205,123.0,
26,544,308,26,245,299,248,84.0,
26,557,281,26,226,297,222,90.0,
26,540,281,26,228,299,227,120.0,
26,468,339,26,241,321,225,71.0,
26,519,283,26,243,321,229,107.0,
26,504,321,26,258,300,256,93.0,
26,556,284,26,227,299,219,61.0,
26,546,347,26,261,299,220,83.0,
26,590,317,26,245,301,237,98.0,
26,500,313,26,244,298,256,111.0,
26,526,283,26,257,302,236,76.0,
26,473,297,26,227,299,240,60.0,
26,488,330,26,230,296,214,108.0,
26,557,345,26,258,301,232,105.0,
26,443,312,26,227,302,250,81.0,
26,507,333,26,243,301,232,106.0,
26,550,314,26,216,301,215,74.0,
26,439,313,26,232,301,227,85.0,
26,536,287,26,227,299,247,65.0,
26,589,281,26,231,298,238,101.0,
26,452,300,26,255,298,255,76.0,
26,542,327,26,242,300,216,90.0,
26,462,292,26,260,298,250,115.0,
26,519,297,26,240,296,238,71.0,
26,547,322,26,213,301,237,84.0,
26,479,289,26,227,303,211,69.0,
26,437,290,26,228,298,230,79.0,
26,514,308,26,225,307,238,83.0,
26,641,291,26,245,300,247,71.0,
26,441,326,26,229,303,222,123.0,
26,504,336,26,228,295,217,93.0,
26,474,337,26,243,299,205,93.0,
26,479,278,26,233,301,252,77.0,
26,539,335,26,229,303,246,75.0,
26,445,295,26,229,296,247,77.0,
26,444,317,26,260,300,236,65.0,
26,563,286,26,213,298,265,61.0,
26,481,331,26,243,302,234,60.0,
26,583,267,26,245,325,237,58.0,
26,514,330,26,211,300,225,89.0,
26,461,319,26,258,297,232,95.0,
26,558,321,26,245,300,220,85.0,
26,521,321,26,229,298,249,88.0,
26,531,295,26,242,301,211,80.0,
26,412,267,26,241,323,208,76.0,
26,538,312,26,241,296,234,90.0,
26,491,314,26,232,298,253,125.0,
26,480,365,26,244,299,231,91.0,
26,458,337,26,245,299,251,104.0,
26,408,322,26,245,303,222,69.0,
26,462,313,26,230,299,226,113.0,
26,514,321,26,261,302,269,88.0,
26,461,301,26,244,297,246,62.0,
26,632,289,26,245,302,235,118.0,
26,536,343,26,226,298,236,111.0,
26,447,328,26,243,299,204,93.0,
26,514,300,26,226,302,234,71.0,
26,497,284,26,228,299,263,83.0,
26,443,330,26,242,300,199,135.0,
26,582,400,26,228,300,222,99.0,
26,502,307,26,227,298,251,73.0,
26,465,354,26,242,301,236,86.0,
26,582,348,26,261,302,241,101.0,
26,445,333,26,257,298,235,81.0,
26,552,289,26,231,296,236,72.0,
26,511,345,26,228,303,273,85.0,
26,511,365,26,243,300,265,91.0,
26,483,284,26,243,298,217,69.0,
26,450,339,26,260,299,236,141.0,
26,417,305,26,230,301,217,62.0,
26,414,308,26,260,300,237,80.0,
26,456,360,26,231,299,203,69.0,
26,574,378,26,262,300,250,105.0,
26,445,290,26,212,323,241,63.0,
26,549,382,26,227,304,234,87.0,
26,485,346,26,242,297,242,79.0,
26,478,345,26,228,301,211,72.0,
26,408,322,26,260,297,227,113.0,
26,477,293,26,230,300,219,88.0,
26,459,285,26,230,299,217,58.0,
26,427,324,26,246,300,229,102.0,
26,426,311,26,228,300,234,74.0,
26,447,310,26,245,301,235,89.0,
26,448,314,26,261,302,241,67.0,
26,461,310,26,228,301,272,80.0,
26,463,323,26,246,300,234,68.0,
26,417,285,26,244,298,233,100.0,
26,498,287,26,263,301,238,87.0,
26,603,341,26,244,300,233,73.0,
26,480,396,26,226,298,241,96.0,
26,500,299,26,245,298,234,79.0,
26,512,340,26,259,301,209,82.0,
26,423,318,26,244,298,212,85.0,
26,506,330,26,231,298,216,76.0,
26,490,293,26,245,303,247,71.0,
26,496,340,26,243,326,236,128.0,
26,452,301,26,212,300,231,84.0,
26,525,255,26,225,324,250,59.0,
26,555,335,26,228,299,256,82.0,
26,452,406,26,243,296,239,69.0,
26,468,348,26,244,296,227,108.0,
26,464,315,26,230,303,254,88.0,
26,459,368,26,257,300,248,84.0,
26,489,305,26,244,298,231,60.0,
26,485,357,26,229,299,239,81.0,
26,427,291,26,259,304,243,77.0,
26,455,282,26,239,302,240,77.0,
26,480,292,26,246,321,239,61.0,
26,537,283,26,228,299,214,85.0,
26,423,317,26,246,295,249,101.0,
26,490,345,26,210,297,232,105.0,
26,454,320,26,276,298,226,67.0,
26,574,287,26,242,299,238,98.0,
26,543,312,26,229,301,235,69.0,
26,546,294,26,241,301,234,79.0,
26,486,284,26,241,300,217,80.0,
26,534,356,26,242,300,235,94.0,
26,446,287,26,210,302,225,91.0,
26,598,287,26,244,300,225,99.0,
26,581,358,26,243,297,245,73.0,
26,480,279,26,247,297,252,69.0,
26,510,324,26,263,299,212,104.0,
26,509,295,26,229,299,248,99.0,
26,508,278,26,228,301,241,92.0,
26,533,308,26,244,300,210,82.0,
26,504,288,26,229,297,235,66.0,
26,517,292,26,245,299,236,94.0,
26,537,289,26,244,297,241,106.0,
26,463,291,26,228,300,255,63.0,
26,508,297,26,212,299,232,93.0,
26,487,293,26,245,301,256,69.0,
26,431,302,26,244,303,235,109.0,
26,449,295,26,243,300,236,120.0,
26,532,325,26,261,298,253,88.0,
26,445,294,26,244,302,225,81.0,
26,487,312,26,243,297,204,86.0,
26,451,290,26,242,300,250,64.0,
26,432,304,26,231,300,252,75.0,
26,547,296,26,225,299,235,80.0,
26,424,285,26,243,300,219,129.0,
