qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
22,116,4,6,17,111,121
18,125,15,14,21,119,121
20,124,18,12,22,119,127
22,117,4,4,4,116,119
21,123,18,13,20,118,119
18,121,18,10,14,116,118
22,120,15,10,12,114,124
22,122,16,10,16,116,121
20,122,16,8,18,116,122
22,121,14,14,12,117,115
22,123,16,12,14,116,119
22,118,13,6,13,113,118
20,117,12,10,10,114,116
22,123,18,8,11,115,121
22,124,17,8,15,116,120
18,117,10,8,8,113,117
20,118,14,6,14,114,118
21,128,20,12,14,118,121
22,119,22,8,23,115,121
20,127,18,12,12,116,117
22,119,16,13,20,117,119
22,120,14,10,24,118,122
20,122,16,10,22,118,123
22,119,16,12,12,117,123
22,116,10,10,10,115,120
22,117,4,4,4,115,118
22,126,20,14,19,119,126
22,118,4,13,10,116,116
20,120,16,16,21,119,121
20,117,8,6,10,115,115
22,122,16,12,14,117,118
22,118,14,6,14,111,118
20,115,10,8,7,114,114
22,121,15,12,10,118,120
18,121,18,12,14,116,118
22,119,10,8,24,116,122
22,124,18,14,18,119,125
20,119,12,12,12,118,124
22,122,27,10,8,117,115
21,117,13,6,13,115,117
22,120,14,12,22,117,124
22,120,23,8,24,115,121
16,116,11,6,18,115,118
22,121,16,12,20,119,122
21,122,25,6,23,115,118
22,122,27,6,8,113,115
20,124,20,14,14,117,121
22,122,8,10,14,115,116
22,118,14,8,16,115,122
18,121,16,8,12,114,118
18,127,21,10,12,116,116
20,120,14,10,14,115,117
21,124,19,14,14,118,120
22,127,31,8,12,114,118
22,128,20,14,20,121,122
22,118,12,8,12,115,118
22,118,10,8,16,116,120
18,122,16,10,10,117,118
20,122,15,12,12,118,119
22,119,12,6,12,113,119
18,119,16,12,16,117,119
18,125,15,14,12,119,121
20,120,10,6,23,118,120
20,126,22,14,26,120,125
18,122,18,10,14,116,117
22,115,11,11,11,114,119
22,120,16,12,17,119,122
16,118,21,4,10,113,114
22,123,16,6,14,113,118
22,117,12,8,12,114,117
16,116,12,10,10,115,115
22,124,12,12,18,118,123
20,123,16,14,10,117,116
22,118,14,12,14,116,118
22,124,15,10,14,114,118
22,120,25,12,22,117,118
20,120,15,14,16,117,120
22,113,20,6,17,111,116
21,117,14,8,14,115,117
22,118,6,8,11,114,122
22,124,17,8,15,116,120
21,121,15,12,10,117,119
22,121,18,8,22,117,121
22,117,12,6,12,115,120
21,120,14,8,12,119,123
22,116,12,8,12,114,116
22,121,24,12,23,119,121
22,121,7,10,4,116,115
22,122,16,16,18,119,121
22,115,8,6,8,113,115
22,122,27,6,8,113,115
22,119,14,6,14,113,119
20,118,12,6,12,113,118
21,121,14,8,12,115,119
22,118,14,6,14,114,118
22,119,15,8,10,114,117
22,118,12,8,12,114,118
22,125,18,8,8,120,120
22,122,16,10,22,117,124
22,120,25,10,22,118,118
21,122,16,14,14,119,121
18,123,26,27,23,121,122
22,122,18,10,20,116,117
22,124,12,12,14,120,122
18,119,15,12,14,115,117
22,125,28,12,14,117,118
16,123,10,10,8,115,119
22,118,14,6,14,111,118
20,122,16,14,14,117,116
22,117,14,12,23,117,118
22,117,12,8,16,116,121
22,128,20,14,24,120,122
22,119,14,14,25,121,119
22,121,17,8,12,114,117
20,122,10,12,14,117,123
16,119,11,6,10,113,116
16,119,12,6,12,115,119
19,118,11,10,10,115,115
20,118,12,8,12,114,122
21,123,18,14,20,119,121
20,122,18,10,6,113,122
19,126,20,14,14,117,121
22,119,12,12,14,117,119
22,122,18,10,14,121,124
22,125,12,12,8,117,120
18,120,18,10,14,116,117
20,114,8,6,8,111,114
22,113,4,4,4,113,114
22,122,8,10,14,115,116
22,123,17,10,8,117,114
22,122,18,8,15,116,122
20,128,20,14,20,118,128
20,117,12,8,12,114,117
22,121,18,14,12,117,120
18,121,18,12,14,116,118
20,118,12,8,12,112,124
22,118,10,15,12,115,119
21,121,26,8,23,115,120
22,117,10,6,16,114,120
21,122,16,8,12,115,116
18,126,20,18,18,120,121
22,118,12,12,12,117,123
22,124,11,14,14,119,125
22,118,12,12,14,117,122
21,125,22,16,18,119,121
21,124,19,14,18,118,120
22,123,18,14,16,120,127
22,118,12,8,12,114,118
22,117,12,10,10,113,115
22,123,18,8,9,115,121
22,119,22,8,23,115,121
22,120,16,12,6,116,117
22,121,16,8,16,117,126
21,117,13,6,13,115,117
22,123,16,10,10,116,122
22,118,12,6,13,115,118
18,119,9,6,10,117,116
22,124,16,8,14,116,121
22,124,18,14,20,119,124
22,123,16,16,20,120,123
16,116,12,10,10,115,115
22,120,25,10,12,116,116
22,124,27,10,10,116,115
22,117,5,4,4,115,118
22,126,8,8,8,116,121
22,118,14,8,16,115,121
21,124,21,10,10,114,116
22,126,16,14,16,121,121
22,121,23,8,24,114,122
22,117,14,10,14,115,117
16,116,12,10,10,115,115
20,122,16,12,11,118,118
18,117,14,6,14,114,117
22,118,6,8,6,114,121
22,121,23,10,11,116,117
20,115,12,6,17,114,118
22,118,5,4,4,113,116
18,121,16,10,10,117,118
22,123,14,14,14,120,121
22,122,16,10,18,117,124
20,114,10,4,10,113,114
22,123,16,14,22,120,121
21,120,24,6,23,115,118
20,123,18,10,14,115,116
22,120,11,10,25,118,121
22,122,16,12,14,115,124
18,118,14,6,14,115,118
20,120,14,10,14,115,120
