qiskit,shp_reduced,multiedge,qiskit_dense
502,2897,3306,2226
502,3089,3377,2619
502,3059,3487,2376
502,2941,3805,2171
502,3010,3600,2951
502,3023,3552,2240
502,2820,3493,2636
502,2770,3694,2204
502,3051,3700,2472
502,2950,3551,2740
502,2946,3518,2205
502,2923,3788,1933
502,2983,3571,2535
502,3115,3775,1886
502,2889,3692,2269
502,2700,3643,2449
502,3146,3660,2466
502,3126,3704,2362
502,2996,3483,2883
502,3402,3745,2833
502,3041,3712,2504
502,3027,3928,2424
502,2778,3809,2675
502,3077,3364,2500
502,3050,3939,2789
502,2722,3332,2372
502,3178,3429,2647
502,2765,3843,2167
502,3067,3570,2323
502,3105,3373,2414
502,3025,3633,2597
502,3064,3671,2752
502,3167,3643,2566
502,3174,3411,2620
502,2920,3883,2878
502,2975,3501,2502
502,2920,3489,1829
502,3133,3343,1949
502,3187,3500,2728
502,3170,3638,2529
502,2971,3934,2486
502,2991,3501,2569
502,3055,3927,2025
502,2952,3867,2781
502,3073,3581,3107
502,3127,3548,2061
502,3185,3523,2461
502,2732,3347,2373
502,3055,4034,2727
502,3059,3459,2010
502,2917,3603,2487
502,2980,3363,2414
502,2884,3538,2629
502,3093,3419,2535
502,3036,3263,2410
502,3035,3547,2185
502,2911,3728,2346
502,2976,3420,2388
502,3042,3570,2374
502,2739,3477,2350
502,2540,3655,2560
502,2786,3962,2926
502,2926,3774,2375
502,2808,3873,2321
502,3004,3671,2127
502,2807,3972,3142
502,3088,3834,3024
502,3098,3733,2744
502,2898,3769,2599
502,2917,3727,2630
502,2939,3595,3173
502,2897,3550,2649
502,2826,3585,2278
502,3022,3413,2440
502,2815,3742,2283
502,2645,3571,2433
502,3033,3657,2388
502,3163,3720,2560
502,2846,3788,2295
502,3286,3427,2731
502,2852,3602,2810
502,2751,3913,2594
502,3043,3538,2459
502,2710,3412,3213
502,2962,3691,2720
502,2874,3878,2463
502,2890,3306,2549
502,2913,3461,2380
502,2937,3495,2366
502,3122,3610,3028
502,3137,3662,2782
502,3022,3490,2409
502,3089,3562,2672
502,3113,3899,2311
502,3044,3950,2500
502,2847,3797,2606
502,3027,3730,2520
502,2855,3679,2726
502,3245,3460,3011
502,2766,3566,2862
502,2786,3581,2383
502,2868,3722,2054
502,3003,3495,3089
502,2906,3892,3192
502,3125,3828,2923
502,2644,3699,2710
