qiskit,shp_reduced,qiskit_dense,multiedge
2026,4136,5414,5343
2026,3795,5487,5245
2026,3862,5226,4953
2026,4098,5799,4707
2026,3924,5008,5057
2026,3890,5923,5386
2026,4013,5401,5227
2026,3972,5690,5756
2026,4077,5660,4887
2026,4045,4877,5039
2026,4191,5091,5354
2026,4039,5116,5393
2026,3916,5492,5244
2026,4066,5434,4772
2026,4061,5094,5295
2026,3741,5111,5073
2026,3963,5519,5323
2026,4404,5404,4854
2026,4221,5453,5262
2026,4301,5065,4858
2026,3868,5465,5123
2026,3665,5017,4904
2026,3811,5182,5113
2026,4081,4968,4929
2026,4151,5479,5068
2026,4455,5528,5182
2026,4264,4919,5099
2026,4248,5537,5187
2026,4189,5226,5544
2026,3917,5410,5111
2026,3976,5517,5452
2026,3808,5469,5070
2026,3950,5625,5379
2026,4069,5162,5189
2026,3962,5238,5410
2026,4289,5274,5444
2026,4118,5153,4879
2026,3796,5395,5170
2026,4240,5289,4967
2026,4232,5164,5452
2026,3996,5372,5041
2026,4295,4878,4985
2026,4134,5107,4598
2026,4182,5702,5157
2026,4178,5158,4963
2026,4233,5363,5213
2026,4255,5147,4923
2026,3842,5550,5119
2026,4131,5312,5139
2026,3963,5220,5083
2026,3708,5368,5131
2026,3909,5512,5133
2026,3986,4862,5219
2026,4020,5443,5335
2026,4254,5336,5333
2026,4052,5493,5226
2026,3924,5861,5451
2026,4027,4826,4784
2026,3933,5314,5397
2026,4134,5710,5468
2026,4141,5782,4895
2026,4012,5178,5403
2026,4131,5338,5120
2026,3867,5399,5183
2026,4275,5442,4848
2026,4391,5365,5369
2026,3803,5315,5130
2026,4188,5655,5197
2026,3890,5328,5002
2026,4166,5598,5047
2026,4372,5477,4967
2026,4319,5315,5243
2026,3733,5523,5289
2026,4089,5189,5307
2026,4400,5263,4932
2026,4011,5806,5628
2026,4265,5247,5151
2026,4302,5239,5265
2026,4071,5034,4978
2026,3864,5472,4962
2026,4096,5258,5269
2026,4146,5233,5108
2018,4139,5633,5115
2026,4279,5782,5291
2026,4095,5320,5779
2026,4006,5077,5120
2026,4030,5322,5224
2026,4502,5334,5533
2026,4023,4978,5186
2026,3915,5287,4762
2026,3965,5321,5064
2026,3922,5101,5233
2026,4159,5058,5345
2026,4366,5124,5333
2026,3842,5510,5238
2026,3807,5277,5363
2026,4075,5324,4682
2026,3836,5149,5114
2026,3801,5195,5373
2026,4178,5456,5012
2026,4125,5034,5203
2026,3940,5099,5155
2026,3944,5435,4923
2026,3888,5955,5515
2026,4042,5021,5017
2026,3853,5444,5119
2026,4308,5368,5365
2026,4287,5458,5125
2026,4022,4936,5382
2026,4082,5245,5300
2026,4212,5510,4988
2026,4269,4936,4911
2026,4191,5411,5445
2026,3711,5021,4803
2026,4287,5204,5497
2026,4095,5191,4680
2026,4180,5610,5332
2026,4235,5369,4893
2026,4030,4905,5268
2026,4121,5500,5069
2026,4246,5666,5285
2026,4029,5393,4923
2026,4180,5483,4975
2026,4095,5849,4782
2026,3977,5688,5485
2026,4040,5261,5228
2026,4009,5079,5120
2026,3928,5262,5027
2026,4052,5250,5134
2026,3778,5018,5029
2026,4487,5319,5134
2026,4086,5588,5050
2026,3971,5168,5105
2026,4086,5556,5091
2026,4308,5374,5429
2026,4180,5560,5224
2026,3824,5410,5262
2026,4006,4943,5309
2026,3906,5090,5155
2026,4289,5176,4440
2026,3963,5216,5034
2026,4006,5444,5115
2026,4180,5937,5060
2026,3888,5571,4966
2026,4019,5556,5703
2026,4118,5060,5331
2026,3986,5471,5079
2026,4148,5252,5563
2026,4256,5308,5114
2026,4168,5478,4886
2026,3824,5470,4996
2026,3738,5449,5589
2026,3872,5551,5327
2026,3811,5448,5179
2026,4363,5045,5381
2026,4108,5037,4910
2026,4029,5111,5182
2026,3707,5214,4901
2026,4225,4998,5137
2026,3858,5554,5133
2026,4193,5132,5179
2026,4011,5181,5100
2026,3755,5123,4869
2026,4290,5261,4875
2026,4118,5060,4983
2026,4187,5796,5723
2026,4180,5153,4747
2026,4135,5133,4968
2026,4090,4935,4966
2026,4063,5683,4856
2026,4313,5412,5199
2026,4104,5375,4930
2026,3961,5273,4698
2026,4148,5021,5428
2026,4038,5490,5263
2026,3929,5299,4901
2026,4304,5000,5278
2026,4057,5184,4614
2026,4192,5159,5279
2026,4573,5565,5639
2026,3955,5256,4919
2026,3946,5119,5413
2026,3930,5741,5236
2026,3936,5624,5177
2026,3881,5374,5142
2026,3813,5220,5280
2026,4317,5010,5688
2026,3981,5496,5404
2026,3905,5488,5032
2026,4142,5202,4894
2026,3962,4916,5396
2026,4096,5323,5258
2026,4010,5060,5512
2026,4362,4916,5055
2026,4124,4766,5026
2026,4058,5665,4933
2026,4020,5006,5308
2026,3447,5185,4989
2026,3944,5449,5031
2026,4099,5204,5172
2026,4242,5458,5078
2026,4034,5562,5376
2026,4242,5391,5578
2026,3580,5761,5409
2026,4040,5004,4929
2026,4187,5234,5323
2026,3967,5482,5232
2026,4349,5617,5053
2026,3995,5360,5223
2026,4512,5419,5418
2026,4291,5342,4981
2026,4086,5877,5057
2026,3934,5306,5382
2026,3877,5565,5286
2026,4332,5796,5277
2026,4381,5279,5128
2026,4164,5425,5106
2026,4148,5321,5118
2026,4030,5620,5181
2026,3943,5245,4764
2026,4190,5776,5096
2026,4202,5757,5007
2026,4487,5466,5156
2026,3769,5078,5274
2026,3990,5255,5010
2026,3807,5423,5368
2026,4244,5497,5306
2026,3910,4798,4872
2026,4061,5096,5009
2026,3921,5358,5047
2026,4198,4913,5064
2026,4077,5585,4836
2026,4058,5371,4790
2026,3905,5344,5172
2026,4194,5196,5227
2026,4268,5225,5040
2026,3918,5277,5107
2026,4349,5658,5105
2026,3717,5305,5133
2026,3922,5288,5063
2026,3849,5404,4961
2026,3906,5508,5079
2026,4043,5245,5110
2026,3922,5463,5017
2026,3940,5094,5206
2026,4026,5256,4914
2026,4269,5352,4974
2026,4162,5380,5134
2026,3999,4906,5104
2026,4240,5355,5330
2026,3759,5435,5256
2026,4046,5525,5067
