qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1427,1433,832,680,771,603,
120,1419,1519,1177,614,732,652,
120,1418,1279,962,647,733,646,
120,1595,1432,767,656,725,612,
120,1427,1692,794,672,745,636,
120,1437,1513,998,654,733,611,
120,1623,1614,819,647,717,635,
120,1522,1382,750,623,778,582,
120,1368,1257,849,642,686,695,
120,1373,1384,708,618,694,631,
120,1336,1464,826,623,740,573,
120,1493,1467,1008,706,719,575,
120,1349,1351,796,595,725,669,
120,1326,1359,591,587,737,678,
120,1615,1253,714,590,711,637,
120,1493,1395,524,649,683,623,
120,1454,1325,829,670,736,666,
120,1339,1365,556,667,694,629,
120,1639,1568,784,638,716,652,
120,1598,1578,703,647,760,622,
120,1449,1439,1020,589,743,731,
120,1384,1494,935,604,822,643,
120,1357,1195,1009,594,727,581,
120,1387,1352,590,647,726,641,
120,1557,1501,966,620,731,644,
120,1560,1381,845,673,777,663,
120,1465,1239,763,652,736,605,
120,1530,1217,934,601,728,650,
120,1534,1408,879,656,749,650,
120,1403,1383,724,648,760,612,
120,1470,1662,820,691,737,641,
120,1279,1572,862,609,733,604,
120,1255,1399,639,680,715,638,
120,1381,1501,804,584,752,649,
120,1669,1360,823,672,724,595,
120,1416,1513,672,678,776,674,
120,1395,1424,821,610,748,616,
120,1455,1330,898,695,741,689,
120,1399,1456,770,615,784,602,
120,1322,1409,674,696,797,664,
120,1483,1436,645,645,739,673,
120,1380,1456,851,684,701,641,
120,1416,1325,790,736,795,673,
120,1507,1356,719,618,780,580,
120,1289,1276,847,556,706,584,
120,1541,1438,637,618,713,605,
120,1547,1388,554,535,797,595,
120,1626,1443,897,611,717,683,
120,1444,1494,662,581,763,650,
120,1591,1408,608,681,758,625,
120,1372,1321,681,668,725,642,
120,1487,1369,826,636,750,634,
120,1521,1256,683,625,712,662,
120,1467,1548,799,658,790,656,
120,1553,1277,718,626,751,660,
120,1358,1437,785,604,710,599,
120,1499,1414,923,617,740,628,
120,1499,1495,655,579,731,685,
120,1379,1469,778,617,686,610,
120,1482,1411,716,684,744,685,
120,1345,1474,622,629,754,642,
120,1499,1406,921,650,737,570,
120,1360,1285,680,585,714,586,
120,1493,1599,807,694,763,648,
120,1325,1428,731,653,725,610,
120,1245,1591,739,619,757,640,
120,1426,1617,785,676,759,644,
120,1229,1302,834,655,744,604,
120,1174,1420,743,622,704,590,
120,1474,1304,786,633,767,640,
120,1442,1317,603,648,753,598,
120,1291,1387,865,668,734,682,
120,1396,1293,904,636,721,618,
