qiskit,shp_reduced,shp,random,random_reduced,mst,mst_reduced,linear,linear_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge
2036,102,3232,3258,185,3225,104,3251,137,140,143,344,167
2036,102,3236,3267,187,3230,123,3274,145,135,139,378,122
1526,98,3230,3243,151,3222,96,3247,129,125,127,345,143
2036,164,3249,3264,161,3239,126,3255,140,146,166,406,124
2036,114,3245,3258,181,3239,116,3274,151,149,157,318,149
2036,139,3243,3264,184,3233,106,3293,161,141,143,309,135
2036,101,3237,3282,160,3229,117,3260,113,129,127,333,159
2036,125,3248,3278,178,3238,101,3262,139,128,127,350,135
2036,103,3250,3273,155,3247,131,3268,139,141,153,336,141
2036,99,3244,3270,169,3235,114,3268,134,139,105,303,156
2034,135,3254,3279,139,3238,114,3265,141,138,124,329,150
2036,119,3240,3270,153,3232,105,3257,152,127,125,303,134
2036,105,3247,3268,157,3237,99,3264,130,130,134,327,139
2036,112,3246,3273,156,3236,118,3251,127,128,155,343,140
2036,100,3243,3263,174,3232,122,3251,125,119,146,392,184
2036,110,3244,3275,156,3237,125,3276,138,111,143,372,125
2036,138,3256,3272,163,3243,127,3273,147,141,139,348,139
2036,104,3241,3272,160,3232,133,3260,140,134,127,295,150
2036,128,3248,3283,177,3242,127,3265,133,142,123,399,132
2036,93,3237,3265,139,3228,96,3259,133,138,126,368,140
2036,94,3247,3273,172,3240,129,3274,157,121,137,322,111
2036,86,3240,3256,176,3237,117,3252,136,138,119,335,125
2036,112,3245,3282,177,3237,107,3270,149,145,122,322,146
2026,110,3247,3270,163,3238,114,3274,137,152,142,358,135
2036,102,3235,3271,167,3224,106,3238,113,123,123,328,135
2036,100,3233,3279,175,3227,101,3260,128,128,137,331,135
2036,85,3244,3275,135,3239,117,3263,162,149,120,324,159
2036,105,3240,3283,156,3234,108,3264,135,159,124,344,149
2036,115,3240,3251,203,3237,143,3257,167,125,177,430,145
2036,110,3238,3279,158,3232,149,3249,131,120,107,350,144
2036,103,3246,3277,185,3238,109,3260,144,118,140,346,151
2036,131,3255,3266,150,3243,126,3265,152,128,147,355,122
2036,111,3239,3268,173,3234,96,3264,131,114,151,311,125
2036,99,3240,3270,134,3233,110,3252,129,143,131,331,119
2036,96,3242,3264,233,3232,123,3266,174,126,116,328,130
2036,116,3241,3269,178,3236,116,3265,140,128,141,355,138
2036,130,3251,3284,173,3240,116,3259,131,130,132,333,145
2036,113,3244,3274,164,3238,132,3270,146,124,135,312,140
2036,93,3235,3273,190,3229,103,3254,130,137,130,344,139
2036,107,3245,3267,170,3238,119,3273,140,118,138,335,141
2036,99,3242,3257,166,3237,99,3258,169,121,116,345,135
1936,128,3243,3262,155,3238,123,3260,137,138,158,341,144
2036,87,3231,3283,167,3228,86,3250,118,118,134,316,149
2036,92,3235,3256,149,3230,116,3267,139,105,141,348,137
2036,110,3247,3285,155,3234,142,3257,128,144,125,329,171
2036,131,3243,3294,146,3243,103,3268,148,141,125,338,160
